Locus_tag	Cluster
SM2011_a0128	1
SM2011_b21179	1
SM2011_b20151	1
SM2011_c02389	1
SM2011_c02388	1
SM2011_b20153	1
SM2011_c00359	1
SM2011_b20205	1
SM2011_c00044	1
SM2011_a1809	1
SM2011_b20150	1
SM2011_c00141	1
SM2011_c00819	1
SM2011_b21284	1
SM2011_b21283	1
SM2011_b21282	1
SM2011_c04384	1
SM2011_b20167	1
SM2011_c00559	1
SM2011_b21372	1
SM2011_c04386	1
SM2011_b20152	1
SM2011_b20207	1
SM2011_c00198	1
SM2011_a0126	1
SM2011_b20278	1
SM2011_a1821	1
SM2011_b21293	1
SM2011_b20208	1
SM2011_c02817	1
SM2011_c02349	1
SM2011_b21375	1
SM2011_c02089	1
SM2011_b21494	1
SM2011_c03900	1
SM2011_b21374	1
SM2011_c00673	1
SM2011_c01586	1
SM2011_b20314	1
SM2011_b21373	1
SM2011_b21275	1
SM2011_b21377	1
SM2011_b21273	1
SM2011_b21028	1
SM2011_b21278	1
SM2011_b20047	1
SM2011_a0246	1
SM2011_b21274	1
SM2011_b21276	1
SM2011_c00977	1
SM2011_b21376	1
SM2011_c03143	1
SM2011_c02874	1
SM2011_b21357	1
SM2011_b20762	2
SM2011_c01127	2
SM2011_c03126	2
SM2011_c03130	2
SM2011_b20876	2
SM2011_b20759	2
SM2011_c04317	2
SM2011_c00171	2
SM2011_c02145	2
SM2011_b21171	2
SM2011_b20763	2
SM2011_b21170	2
SM2011_c03125	2
SM2011_c00978	2
SM2011_c04316	2
SM2011_c03128	2
SM2011_c00620	2
SM2011_c03127	2
SM2011_c03129	2
SM2011_c02144	2
SM2011_c01605	2
SM2011_c01847	2
SM2011_b20761	2
SM2011_c03124	2
SM2011_c01848	2
SM2011_c01607	2
SM2011_b21174	2
SM2011_c00618	2
SM2011_b20760	2
SM2011_c01907	2
SM2011_c02143	2
SM2011_a0237	2
SM2011_c01606	2
SM2011_c02634	2
SM2011_b21175	2
SM2011_c04300	2
SM2011_b21176	2
SM2011_b20765	2
SM2011_b21272	2
SM2011_b21177	2
SM2011_b21318	2
SM2011_c04381	2
SM2011_c02141	2
SM2011_a0241	2
SM2011_c02491	2
SM2011_c02146	2
SM2011_c03243	2
SM2011_a0244	2
SM2011_c04299	2
SM2011_b21277	2
SM2011_c02147	2
SM2011_c00033	2
SM2011_c01109	3
