Locus_tag	Cluster
SM2011_a0031	Down
SM2011_a0036	Down
SM2011_a0089	Down
SM2011_a0101	Down
SM2011_a0247	Down
SM2011_a0249	Down
SM2011_a0250	Down
SM2011_a0252	Down
SM2011_a0380	Down
SM2011_a0396	Down
SM2011_a0398	Down
SM2011_a0444	Down
SM2011_a0744	Down
SM2011_a0745	Down
SM2011_a0748	Down
SM2011_a0806	Down
SM2011_a0809	Down
SM2011_a0878	Down
SM2011_a1033	Down
SM2011_a1036	Down
SM2011_a1038	Down
SM2011_a1041	Down
SM2011_a1043	Down
SM2011_a1389	Down
SM2011_a1391	Down
SM2011_a1586	Down
SM2011_a1587	Down
SM2011_a1698	Down
SM2011_a1702	Down
SM2011_a1927	Down
SM2011_a2107	Down
SM2011_a2245	Down
SM2011_a2379	Down
SM2011_b20020	Down
SM2011_b20056	Down
SM2011_b20057	Down
SM2011_b20058	Down
SM2011_b20059	Down
SM2011_b20069	Down
SM2011_b20072	Down
SM2011_b20154	Down
SM2011_b20170	Down
SM2011_b20262	Down
SM2011_b20263	Down
SM2011_b20264	Down
SM2011_b20265	Down
SM2011_b20266	Down
SM2011_b20267	Down
SM2011_b20292	Down
SM2011_b20421	Down
SM2011_b20448	Down
SM2011_b20456	Down
SM2011_b20523	Down
SM2011_b20556	Down
SM2011_b20595	Down
SM2011_b20596	Down
SM2011_b20650	Down
SM2011_b20651	Down
SM2011_b20705	Down
SM2011_b20712	Down
SM2011_b20749	Down
SM2011_b20755	Down
SM2011_b20756	Down
SM2011_b20759	Down
SM2011_b20762	Down
SM2011_b20806	Down
SM2011_b20807	Down
SM2011_b20808	Down
SM2011_b20823	Down
SM2011_b20824	Down
SM2011_b20825	Down
SM2011_b20831	Down
SM2011_b20873	Down
SM2011_b20874	Down
SM2011_b20875	Down
SM2011_b20876	Down
SM2011_b20880	Down
SM2011_b20890	Down
SM2011_b20891	Down
SM2011_b20893	Down
SM2011_b20894	Down
SM2011_b20899	Down
SM2011_b20942	Down
SM2011_b20946	Down
SM2011_b20949	Down
SM2011_b20960	Down
SM2011_b20961	Down
SM2011_b20996	Down
SM2011_b20997	Down
SM2011_b20999	Down
SM2011_b21009	Down
SM2011_b21010	Down
SM2011_b21035	Down
SM2011_b21045	Down
SM2011_b21092	Down
SM2011_b21111	Down
SM2011_b21112	Down
SM2011_b21131	Down
SM2011_b21165	Down
SM2011_b21170	Down
SM2011_b21171	Down
SM2011_b21174	Down
SM2011_b21175	Down
SM2011_b21176	Down
SM2011_b21177	Down
SM2011_b21181	Down
SM2011_b21182	Down
SM2011_b21183	Down
SM2011_b21185	Down
SM2011_b21186	Down
SM2011_b21192	Down
SM2011_b21196	Down
SM2011_b21197	Down
SM2011_b21198	Down
SM2011_b21199	Down
SM2011_b21254	Down
SM2011_b21256	Down
SM2011_b21315	Down
SM2011_b21317	Down
SM2011_b21418	Down
SM2011_b21431	Down
SM2011_b21479	Down
SM2011_b21491	Down
SM2011_b21494	Down
SM2011_b21514	Down
SM2011_b21522	Down
SM2011_b21523	Down
SM2011_b21566	Down
SM2011_b21567	Down
SM2011_b21600	Down
SM2011_b21630	Down
SM2011_b21690	Down
SM2011_c00005	Down
SM2011_c00006	Down
SM2011_c00009	Down
SM2011_c00010	Down
SM2011_c00012	Down
SM2011_c00013	Down
SM2011_c00016	Down
SM2011_c00017	Down
SM2011_c00020	Down
SM2011_c00021	Down
SM2011_c00023	Down
SM2011_c00033	Down
SM2011_c00034	Down
SM2011_c00036	Down
SM2011_c00040	Down
SM2011_c00053	Down
SM2011_c00058	Down
SM2011_c00059	Down
SM2011_c00067	Down
SM2011_c00070	Down
SM2011_c00088	Down
SM2011_c00097	Down
SM2011_c00100	Down
SM2011_c00105	Down
SM2011_c00120	Down
SM2011_c00130	Down
SM2011_c00133	Down
SM2011_c00134	Down
SM2011_c00138	Down
SM2011_c00139	Down
SM2011_c00140	Down
SM2011_c00141	Down
SM2011_c00148	Down
SM2011_c00149	Down
SM2011_c00150	Down
SM2011_c00151	Down
SM2011_c00153	Down
SM2011_c00155	Down
SM2011_c00159	Down
SM2011_c00169	Down
SM2011_c00170	Down
SM2011_c00174	Down
SM2011_c00175	Down
SM2011_c00176	Down
SM2011_c00185	Down
SM2011_c00186	Down
SM2011_c00187	Down
SM2011_c00188	Down
SM2011_c00189	Down
SM2011_c00191	Down
SM2011_c00198	Down
SM2011_c00227	Down
SM2011_c00230	Down
SM2011_c00234	Down
SM2011_c00235	Down
SM2011_c00236	Down
SM2011_c00238	Down
SM2011_c00246	Down
SM2011_c00247	Down
SM2011_c00249	Down
SM2011_c00289	Down
SM2011_c00293	Down
SM2011_c00294	Down
SM2011_c00295	Down
SM2011_c00298	Down
SM2011_c00299	Down
SM2011_c00300	Down
SM2011_c00323	Down
SM2011_c00324	Down
SM2011_c00325	Down
SM2011_c00326	Down
SM2011_c00327	Down
SM2011_c00328	Down
SM2011_c00332	Down
SM2011_c00333	Down
SM2011_c00334	Down
SM2011_c00335	Down
SM2011_c00342	Down
SM2011_c00349	Down
SM2011_c00357	Down
SM2011_c00362	Down
SM2011_c00363	Down
SM2011_c00364	Down
SM2011_c00365	Down
SM2011_c00366	Down
SM2011_c00375	Down
SM2011_c00382	Down
SM2011_c00383	Down
SM2011_c00394	Down
SM2011_c00407	Down
SM2011_c00409	Down
SM2011_c00410	Down
SM2011_c00411	Down
SM2011_c00414	Down
SM2011_c00415	Down
SM2011_c00427	Down
SM2011_c00431	Down
SM2011_c00432	Down
SM2011_c00433	Down
SM2011_c00450	Down
SM2011_c00451	Down
SM2011_c00461	Down
SM2011_c00475	Down
SM2011_c00480	Down
SM2011_c00485	Down
SM2011_c00488	Down
SM2011_c00489	Down
SM2011_c00492	Down
SM2011_c00493	Down
SM2011_c00494	Down
SM2011_c00495	Down
SM2011_c00505	Down
SM2011_c00508	Down
SM2011_c00517	Down
SM2011_c00521	Down
SM2011_c00522	Down
SM2011_c00528	Down
SM2011_c00548	Down
SM2011_c00551	Down
SM2011_c00553	Down
SM2011_c00554	Down
SM2011_c00555	Down
SM2011_c00565	Down
SM2011_c00566	Down
SM2011_c00567	Down
SM2011_c00568	Down
SM2011_c00570	Down
SM2011_c00571	Down
SM2011_c00572	Down
SM2011_c00573	Down
SM2011_c00574	Down
SM2011_c00575	Down
SM2011_c00576	Down
SM2011_c00579	Down
SM2011_c00581	Down
SM2011_c00582	Down
SM2011_c00583	Down
SM2011_c00590	Down
SM2011_c00593	Down
SM2011_c00594	Down
SM2011_c00595	Down
SM2011_c00600	Down
SM2011_c00601	Down
SM2011_c00604	Down
SM2011_c00605	Down
SM2011_c00608	Down
SM2011_c00609	Down
SM2011_c00610	Down
SM2011_c00615	Down
SM2011_c00618	Down
SM2011_c00619	Down
SM2011_c00620	Down
SM2011_c00638	Down
SM2011_c00640	Down
SM2011_c00641	Down
SM2011_c00643	Down
SM2011_c00644	Down
SM2011_c00648	Down
SM2011_c00651	Down
SM2011_c00652	Down
SM2011_c00653	Down
SM2011_c00654	Down
SM2011_c00655	Down
SM2011_c00657	Down
SM2011_c00682	Down
SM2011_c00683	Down
SM2011_c00685	Down
SM2011_c00690	Down
SM2011_c00696	Down
SM2011_c00700	Down
SM2011_c00701	Down
SM2011_c00703	Down
SM2011_c00704	Down
SM2011_c00720	Down
SM2011_c00723	Down
SM2011_c00724	Down
SM2011_c00725	Down
SM2011_c00727	Down
SM2011_c00737	Down
SM2011_c00762	Down
SM2011_c00772	Down
SM2011_c00781	Down
SM2011_c00786	Down
SM2011_c00787	Down
SM2011_c00788	Down
SM2011_c00789	Down
SM2011_c00790	Down
SM2011_c00791	Down
SM2011_c00813	Down
SM2011_c00816	Down
SM2011_c00820	Down
SM2011_c00821	Down
SM2011_c00825	Down
SM2011_c00830	Down
SM2011_c00851	Down
SM2011_c00853	Down
SM2011_c00860	Down
SM2011_c00868	Down
SM2011_c00869	Down
SM2011_c00870	Down
SM2011_c00871	Down
SM2011_c00872	Down
SM2011_c00878	Down
SM2011_c00881	Down
SM2011_c00882	Down
SM2011_c00883	Down
SM2011_c00884	Down
SM2011_c00887	Down
SM2011_c00888	Down
SM2011_c00896	Down
SM2011_c00907	Down
SM2011_c00914	Down
SM2011_c00916	Down
SM2011_c00919	Down
SM2011_c00922	Down
SM2011_c00924	Down
SM2011_c00925	Down
SM2011_c00943	Down
SM2011_c00944	Down
SM2011_c00945	Down
SM2011_c00947	Down
SM2011_c00948	Down
SM2011_c00950	Down
SM2011_c00964	Down
SM2011_c00965	Down
SM2011_c00966	Down
SM2011_c00969	Down
SM2011_c00970	Down
SM2011_c00975	Down
SM2011_c00978	Down
SM2011_c00983	Down
SM2011_c00987	Down
SM2011_c00990	Down
SM2011_c00996	Down
SM2011_c01010	Down
SM2011_c01018	Down
SM2011_c01025	Down
SM2011_c01027	Down
SM2011_c01028	Down
SM2011_c01045	Down
SM2011_c01048	Down
SM2011_c01051	Down
SM2011_c01052	Down
SM2011_c01068	Down
SM2011_c01089	Down
SM2011_c01100	Down
SM2011_c01101	Down
SM2011_c01104	Down
SM2011_c01108	Down
SM2011_c01109	Down
SM2011_c01120	Down
SM2011_c01121	Down
SM2011_c01127	Down
SM2011_c01136	Down
SM2011_c01137	Down
SM2011_c01138	Down
SM2011_c01152	Down
SM2011_c01163	Down
SM2011_c01164	Down
SM2011_c01165	Down
SM2011_c01166	Down
SM2011_c01167	Down
SM2011_c01169	Down
SM2011_c01173	Down
SM2011_c01187	Down
SM2011_c01189	Down
SM2011_c01200	Down
SM2011_c01202	Down
SM2011_c01208	Down
SM2011_c01209	Down
SM2011_c01215	Down
SM2011_c01231	Down
SM2011_c01235	Down
SM2011_c01270	Down
SM2011_c01275	Down
SM2011_c01283	Down
SM2011_c01285	Down
SM2011_c01286	Down
SM2011_c01287	Down
SM2011_c01288	Down
SM2011_c01289	Down
SM2011_c01290	Down
SM2011_c01291	Down
SM2011_c01292	Down
SM2011_c01293	Down
SM2011_c01294	Down
SM2011_c01295	Down
SM2011_c01296	Down
SM2011_c01297	Down
