Gene	Operon
SM2011_c02793	1
SM2011_c02786	2
SM2011_c02776	3
SM2011_c02773	4
SM2011_c02769	5
SM2011_c02767	6
SM2011_c02756	7
SM2011_c02753	8
SM2011_c04446	9
SM2011_c02574	10
SM2011_c02575	11
SM2011_c02589	12
SM2011_c02593	13
SM2011_c02595	14
SM2011_c02608	15
SM2011_c02610	16
SM2011_c02615	17
SM2011_c02619	18
SM2011_c04153	19
SM2011_c04150	20
SM2011_c04135	21
SM2011_c04133	22
SM2011_c04127	23
SM2011_c04119	24
SM2011_c04117	25
SM2011_c04114	26
SM2011_c04112	27
SM2011_c02820	28
SM2011_c02825	29
SM2011_c02831	30
SM2011_c02834	31
SM2011_c02836	32
SM2011_c02842	33
SM2011_c02846	34
SM2011_c02851	35
SM2011_c02855	36
SM2011_c02860	37
SM2011_c02862	38
SM2011_c02863	39
SM2011_c02868	40
SM2011_c02872	41
SM2011_c02875	42
SM2011_c02881	43
SM2011_c02888	44
SM2011_c02889	45
SM2011_c02898	46
SM2011_c02904	47
SM2011_c02906	48
SM2011_c02911	49
SM2011_c00320	50
SM2011_c00328	51
SM2011_c00331	52
SM2011_c00333	53
SM2011_c00341	54
SM2011_c00349	55
SM2011_c00351	56
SM2011_c00356	57
SM2011_c00363	58
SM2011_c00365	59
SM2011_c00369	60
SM2011_c00378	61
SM2011_c00383	62
SM2011_c00386	63
SM2011_c00388	64
SM2011_c00390	65
SM2011_c00392	66
SM2011_c00396	67
SM2011_c00402	68
SM2011_c00407	69
SM2011_c00414	70
SM2011_c00416	71
SM2011_c01160	72
SM2011_c01155	73
SM2011_c01154	74
SM2011_c01151	75
SM2011_c01149	76
SM2011_c01145	77
SM2011_c01136	78
SM2011_c01131	79
SM2011_c01124	80
SM2011_c01118	81
SM2011_c01115	82
SM2011_c01106	83
SM2011_c01101	84
SM2011_c01394	85
SM2011_c01096	86
SM2011_c01093	87
SM2011_c01732	88
SM2011_c01728	89
SM2011_c04434	90
SM2011_c01718	91
SM2011_c01713	92
SM2011_c01710	93
SM2011_c01708	94
SM2011_c01702	95
SM2011_c02175	96
SM2011_c02172	97
SM2011_c02170	98
SM2011_c02166	99
SM2011_c02159	100
SM2011_c02187	101
SM2011_c02200	102
SM2011_c02199	103
SM2011_c02151	104
SM2011_c02145	105
SM2011_c02138	106
SM2011_c02218	107
SM2011_c02221	108
SM2011_c02223	109
SM2011_c02228	110
SM2011_c02230	111
SM2011_c02232	112
SM2011_c02238	113
SM2011_c02242	114
SM2011_c02246	115
SM2011_c02255	116
SM2011_c02258	117
SM2011_c02260	118
SM2011_c02261	119
SM2011_c02273	120
SM2011_c02280	121
SM2011_c02296	122
SM2011_c02298	123
SM2011_c02302	124
SM2011_c02306	125
SM2011_c02310	126
SM2011_c04431	127
SM2011_c02314	128
SM2011_c02320	129
SM2011_c02322	130
SM2011_c02325	131
SM2011_c03004	132
SM2011_c03015	133
SM2011_c03018	134
SM2011_c03022	135
SM2011_c03023	136
SM2011_c03027	137
SM2011_c03041	138
SM2011_c03046	139
SM2011_c03054	140
SM2011_c03072	141
SM2011_c03062	142
SM2011_c03070	143
SM2011_c00762	144
SM2011_c00771	145
SM2011_c00778	146
SM2011_c00782	147
SM2011_c00787	148
SM2011_c00804	149
SM2011_c00808	150
SM2011_c00810	151
SM2011_c00815	152
SM2011_c00822	153
SM2011_c00827	154
SM2011_c00832	155
SM2011_c00919	156
SM2011_c00916	157
SM2011_c00912	158
SM2011_c00910	159
SM2011_c00907	160
SM2011_c00904	161
SM2011_c00899	162
SM2011_c00896	163
SM2011_c02291	164
SM2011_c00932	165
SM2011_c00888	166
SM2011_c00880	167
SM2011_c00872	168
SM2011_c00861	169
SM2011_c00859	170
SM2011_c00852	171
SM2011_c00991	172
SM2011_c00984	173
SM2011_c00982	174
SM2011_c00977	175
SM2011_c00972	176
SM2011_c00968	177
SM2011_c00962	178
SM2011_c00007	179
SM2011_c00009	180
SM2011_c00014	181
SM2011_c00017	182
SM2011_c00073	183
SM2011_c00075	184
SM2011_c00077	185
SM2011_c00452	186
SM2011_c05003	187
SM2011_c00092	188
SM2011_c00030	189
SM2011_c00127	190
SM2011_c00033	191
SM2011_c00100	192
SM2011_c00103	193
SM2011_c00105	194
SM2011_c00114	195
SM2011_c00048	196
SM2011_c00051	197
SM2011_c00059	198
SM2011_c00457	199
SM2011_c00065	200
SM2011_c02361	201
SM2011_c02366	202
SM2011_c02374	203
SM2011_c02376	204
SM2011_c02384	205
SM2011_c02389	206
SM2011_c02461	207
SM2011_c02404	208
SM2011_c02659	209
SM2011_c02655	210
SM2011_c02653	211
SM2011_c02646	212
SM2011_c02638	213
SM2011_c02633	214
SM2011_c02601	215
SM2011_c02661	216
SM2011_c02558	217
SM2011_c02556	218
SM2011_c02554	219
SM2011_c02551	220
SM2011_c00551	221
SM2011_c00554	222
SM2011_c00557	223
SM2011_c00558	224
SM2011_c00562	225
SM2011_c00566	226
SM2011_c00568	227
SM2011_c00571	228
SM2011_c00576	229
SM2011_c00581	230
SM2011_c00584	231
SM2011_c00585	232
SM2011_c00597	233
SM2011_c00601	234
SM2011_c00603	235
SM2011_c00608	236
SM2011_c00612	237
SM2011_c00615	238
SM2011_c00616	239
SM2011_c00618	240
SM2011_c00621	241
SM2011_c01766	242
SM2011_c01770	243
SM2011_c01776	244
SM2011_c01777	245
SM2011_c01782	246
SM2011_c01784	247
SM2011_c01792	248
SM2011_c01794	249
SM2011_c01799	250
SM2011_c01804	251
SM2011_c01808	252
SM2011_c04433	253
SM2011_c01909	254
SM2011_c01912	255
SM2011_c01920	256
SM2011_c01923	257
SM2011_c01933	258
SM2011_c01935	259
SM2011_c01371	260
SM2011_c01364	261
SM2011_c01360	262
SM2011_c01357	263
SM2011_c01353	264
SM2011_c01350	265
SM2011_c01343	266
SM2011_c01341	267
SM2011_c01340	268
SM2011_c01331	269
SM2011_c01323	270
SM2011_c01321	271
SM2011_c01319	272
SM2011_c01314	273
SM2011_c01309	274
SM2011_c01299	275
SM2011_c01292	276
