Locus_tag	Replicon	Start	End	Type	Strand
SM2011_c02793	Chromosome	445	1299	gene	+
SM2011_c02792	Chromosome	1347	1946	gene	+
SM2011_c02791	Chromosome	1939	2799	gene	+
SM2011_c02790	Chromosome	2796	3380	gene	+
SM2011_c06000	Chromosome	3475	3524	gene	+
SM2011_c02789	Chromosome	3526	4452	gene	+
SM2011_c02788	Chromosome	4198	4941	gene	-
SM2011_c06002	Chromosome	4948	5029	gene	-
SM2011_c02787	Chromosome	5082	5740	gene	-
SM2011_c02786	Chromosome	5716	6493	gene	+
SM2011_c02785	Chromosome	6511	7629	gene	+
SM2011_c02784	Chromosome	7622	8188	gene	+
SM2011_c02783	Chromosome	8185	8562	gene	+
SM2011_c02782	Chromosome	8559	11217	gene	+
SM2011_c06003	Chromosome	9288	9347	gene	-
SM2011_c06004	Chromosome	9961	10052	gene	-
SM2011_c02781	Chromosome	11232	11891	gene	-
SM2011_c02780	Chromosome	11972	13504	gene	+
SM2011_c06005	Chromosome	13525	13647	gene	+
SM2011_c02779	Chromosome	13646	14674	gene	-
SM2011_c02778	Chromosome	14608	15695	gene	+
SM2011_c02777	Chromosome	15603	16655	gene	-
SM2011_c06008	Chromosome	15881	16002	gene	+
SM2011_c02776	Chromosome	16707	18257	gene	+
SM2011_c02775	Chromosome	18314	19333	gene	+
SM2011_c02774	Chromosome	19365	20431	gene	+
SM2011_c02773	Chromosome	20441	22096	gene	+
SM2011_c02772	Chromosome	22130	23104	gene	+
SM2011_c02771	Chromosome	23137	24167	gene	+
SM2011_c02770	Chromosome	24253	25812	gene	+
SM2011_c06009	Chromosome	24788	24891	gene	-
SM2011_c02769	Chromosome	25814	26344	gene	+
SM2011_c02768	Chromosome	26383	27234	gene	+
SM2011_c02767	Chromosome	27375	28023	gene	+
SM2011_c02766	Chromosome	28048	29268	gene	+
SM2011_c02765	Chromosome	29274	30130	gene	+
SM2011_c02764	Chromosome	30132	31081	gene	+
SM2011_c06010	Chromosome	30872	30924	gene	-
SM2011_c02763	Chromosome	31097	32600	gene	+
SM2011_c06011	Chromosome	32392	32448	gene	-
SM2011_c06012	Chromosome	32595	32703	gene	-
SM2011_c02762	Chromosome	32788	33951	gene	+
SM2011_c02761	Chromosome	34036	34482	gene	-
SM2011_c02760	Chromosome	34484	38065	gene	-
SM2011_c06013	Chromosome	34617	34687	gene	+
SM2011_c02759	Chromosome	38055	41234	gene	-
SM2011_c02758	Chromosome	41236	41967	gene	-
SM2011_c02757	Chromosome	41974	43488	gene	-
SM2011_c02756	Chromosome	43498	46166	gene	-
SM2011_c06014	Chromosome	46183	46258	gene	+
SM2011_c02755	Chromosome	46214	47765	gene	-
SM2011_c02754	Chromosome	47768	48130	gene	-
SM2011_c02753	Chromosome	48127	48608	gene	-
SM2011_c06015	Chromosome	48399	48451	gene	+
SM2011_c02752	Chromosome	48656	49255	gene	-
SM2011_c07001	Chromosome	48699	48747	gene	+
SM2011_c04446	Chromosome	49252	51102	gene	-
SM2011_c07002	Chromosome	51218	51346	gene	+
SM2011_c02560	Chromosome	51419	52233	gene	-
SM2011_c06016	Chromosome	51875	51941	gene	+
SM2011_c02562	Chromosome	52443	54150	gene	+
SM2011_c02563	Chromosome	54186	54631	gene	+
SM2011_c02564	Chromosome	54692	55190	gene	+
SM2011_c02566	Chromosome	55295	55915	gene	+
