Gene_name	Start_nt	End_nt	Length	Motif_count	Normalized_count	Extent_methylation
SM2011_a6001	1253	1352	100	0	0	NA
SM2011_a0002	1880	1979	100	0	0	NA
SM2011_a0005	4354	4453	100	0	0	NA
SM2011_a0007	5324	5423	100	0	0	NA
SM2011_a0009	6049	6148	100	0	0	NA
SM2011_a0011	6974	7073	100	0	0	NA
SM2011_a0013	8283	8382	100	0	0	NA
SM2011_a0015	9152	9251	100	0	0	NA
SM2011_a0017	11406	11505	100	0	0	NA
SM2011_a5000	12562	12661	100	0	0	NA
SM2011_a0018	12654	12753	100	0	0	NA
SM2011_a0020	13127	13226	100	0	0	NA
SM2011_a6007	14055	14154	100	0	0	NA
SM2011_a0021	14855	14954	100	0	0	NA
SM2011_a5014	15726	15825	100	0	0	NA
SM2011_a0025	17319	17418	100	0	0	NA
SM2011_a0026	17853	17952	100	0	0	NA
SM2011_a0028	18915	19014	100	0	0	NA
SM2011_a0031	19437	19536	100	0	0	NA
SM2011_a0034	21109	21208	100	0	0	NA
SM2011_a0036	21329	21428	100	0	0	NA
SM2011_a0039	24298	24397	100	0	0	NA
SM2011_a0041	24299	24398	100	0	0	NA
SM2011_a0044	25684	25783	100	0	0	NA
SM2011_a0045	26598	26697	100	0	0	NA
SM2011_a5015	26806	26905	100	0	0	NA
SM2011_a0050	27195	27294	100	0	0	NA
SM2011_a0052	27413	27512	100	0	0	NA
SM2011_a6012	27685	27784	100	0	0	NA
SM2011_a0056	29431	29530	100	1	10	84.6
SM2011_a0058	30691	30790	100	0	0	NA
SM2011_a0059	31491	31590	100	0	0	NA
SM2011_a0060	32426	32525	100	0	0	NA
SM2011_a0062	32536	32635	100	0	0	NA
SM2011_a0063	33355	33454	100	0	0	NA
SM2011_a0064	34086	34185	100	0	0	NA
SM2011_a0065	35357	35456	100	0	0	NA
SM2011_a0067	36095	36194	100	0	0	NA
SM2011_a0070	37255	37354	100	0	0	NA
SM2011_a0072	38235	38334	100	1	10	99.7
SM2011_a0074	38974	39073	100	0	0	NA
SM2011_a0077	39732	39831	100	0	0	NA
SM2011_a0078	40861	40960	100	0	0	NA
SM2011_a0079	42008	42107	100	0	0	NA
SM2011_a0081	42687	42786	100	0	0	NA
SM2011_a0082	43373	43472	100	0	0	NA
SM2011_a0083	44204	44303	100	0	0	NA
SM2011_a0085	45001	45100	100	0	0	NA
SM2011_a0087	45971	46070	100	0	0	NA
SM2011_a0089	46586	46685	100	0	0	NA
SM2011_a0091	47127	47226	100	0	0	NA
SM2011_a0093	48084	48183	100	1	10	100
SM2011_a0095	48986	49085	100	0	0	NA
SM2011_a0097	51082	51181	100	0	0	NA
SM2011_a0101	51164	51263	100	0	0	NA
SM2011_a0104	52846	52945	100	0	0	NA
SM2011_a0105	54526	54625	100	0	0	NA
SM2011_a0106	55467	55566	100	0	0	NA
SM2011_a0108	56285	56384	100	0	0	NA
SM2011_a0110	57196	57295	100	0	0	NA
SM2011_a5001	58200	58299	100	0	0	NA
SM2011_a0112	59237	59336	100	0	0	NA
SM2011_a0113	59605	59704	100	0	0	NA
SM2011_a0114	62194	62293	100	0	0	NA
SM2011_a0116	63102	63201	100	0	0	NA
SM2011_a0117	64016	64115	100	0	0	NA
SM2011_a0118	64581	64680	100	0	0	NA
SM2011_a6027	65404	65503	100	1	10	98.3
SM2011_a0121	65661	65760	100	0	0	NA
SM2011_a0123	66115	66214	100	0	0	NA
SM2011_a0124	67829	67928	100	0	0	NA
SM2011_a0125	68194	68293	100	0	0	NA
SM2011_a0126	68452	68551	100	0	0	NA
SM2011_a0128	68704	68803	100	0	0	NA
SM2011_a0130	69170	69269	100	0	0	NA
SM2011_a0132	70237	70336	100	0	0	NA
SM2011_a0134	71341	71440	100	0	0	NA
SM2011_a5002	71696	71795	100	0	0	NA
SM2011_a0136	71843	71942	100	0	0	NA
SM2011_a0137	73947	74046	100	0	0	NA
SM2011_a0139	76645	76744	100	0	0	NA
SM2011_a6036	76785	76884	100	0	0	NA
SM2011_a0142	78492	78591	100	0	0	NA
SM2011_a0143	78534	78633	100	0	0	NA
SM2011_a0144	79073	79172	100	0	0	NA
SM2011_a0146	80489	80588	100	0	0	NA
SM2011_a0148	81343	81442	100	0	0	NA
SM2011_a0149	81426	81525	100	0	0	NA
SM2011_a0150	83569	83668	100	0	0	NA
SM2011_a0151	85005	85104	100	0	0	NA
SM2011_a6038	86318	86417	100	0	0	NA
SM2011_a0155	86884	86983	100	0	0	NA
SM2011_a0157	87955	88054	100	0	0	NA
SM2011_a0160	87983	88082	100	0	0	NA
SM2011_a0163	88891	88990	100	0	0	NA
SM2011_a0162	89188	89287	100	0	0	NA
SM2011_a0164	90288	90387	100	0	0	NA
SM2011_a0166	90606	90705	100	0	0	NA
SM2011_a0168	91226	91325	100	0	0	NA
SM2011_a0169	92093	92192	100	0	0	NA
SM2011_a0171	93923	94022	100	0	0	NA
SM2011_a0172	94039	94138	100	0	0	NA
SM2011_a0175	96538	96637	100	0	0	NA
SM2011_a6043	96822	96921	100	0	0	NA
SM2011_a0179	98984	99083	100	0	0	NA
SM2011_a0180	99001	99100	100	0	0	NA
SM2011_a0181	100375	100474	100	0	0	NA
SM2011_a0185	100530	100629	100	0	0	NA
SM2011_a0187	102215	102314	100	0	0	NA
SM2011_a0189	103594	103693	100	0	0	NA
SM2011_a0190	104125	104224	100	0	0	NA
SM2011_a0191	105995	106094	100	0	0	NA
SM2011_a0193	106318	106417	100	0	0	NA
SM2011_a0196	107529	107628	100	0	0	NA
SM2011_a0197	108491	108590	100	0	0	NA
SM2011_a0198	109435	109534	100	0	0	NA
SM2011_a0199	110895	110994	100	0	0	NA
SM2011_a0203	111970	112069	100	0	0	NA
SM2011_a0204	112143	112242	100	0	0	NA
SM2011_a0206	113387	113486	100	0	0	NA
SM2011_a0209	114234	114333	100	0	0	NA
SM2011_a0210	115784	115883	100	0	0	NA
SM2011_a0211	116121	116220	100	0	0	NA
SM2011_a0214	117181	117280	100	0	0	NA
SM2011_a0216	117953	118052	100	0	0	NA
SM2011_a0217	119029	119128	100	0	0	NA
SM2011_a0218	119989	120088	100	0	0	NA
SM2011_a0222	121615	121714	100	0	0	NA
SM2011_a0220	121624	121723	100	0	0	NA
SM2011_a0224	123160	123259	100	0	0	NA
SM2011_a0223	123303	123402	100	0	0	NA
SM2011_a0226	124826	124925	100	0	0	NA
SM2011_a0228	125985	126084	100	0	0	NA
SM2011_a0229	127650	127749	100	0	0	NA
SM2011_a0232	128292	128391	100	0	0	NA
SM2011_a0233	130357	130456	100	0	0	NA
SM2011_a0235	132550	132649	100	0	0	NA
SM2011_a0237	133440	133539	100	0	0	NA
SM2011_a0241	134420	134519	100	0	0	NA
SM2011_a0244	134514	134613	100	1	10	99.9
SM2011_a0246	135974	136073	100	0	0	NA
SM2011_a0247	136855	136954	100	0	0	NA
SM2011_a0249	138052	138151	100	0	0	NA
SM2011_a0250	138585	138684	100	0	0	NA
SM2011_a0252	139914	140013	100	0	0	NA
SM2011_a0254	141082	141181	100	0	0	NA
SM2011_a0255	141892	141991	100	0	0	NA
SM2011_a0257	145232	145331	100	0	0	NA
SM2011_a0259	146333	146432	100	0	0	NA
SM2011_a0260	147812	147911	100	0	0	NA
SM2011_a0263	149028	149127	100	0	0	NA
SM2011_a0267	150048	150147	100	0	0	NA
SM2011_a0265	150054	150153	100	0	0	NA
SM2011_a0270	150737	150836	100	0	0	NA
SM2011_a0271	152295	152394	100	0	0	NA
