Gene_name	Start_nt	End_nt	Length	Motif_count	Normalized_count	Extent_methylation
SM2011_a6001	1228	1352	125	0	0	NA
SM2011_a0002	1855	1979	125	0	0	NA
SM2011_a0005	4329	4453	125	0	0	NA
SM2011_a0007	5299	5423	125	0	0	NA
SM2011_a0009	6024	6148	125	0	0	NA
SM2011_a0011	6949	7073	125	0	0	NA
SM2011_a0013	8258	8382	125	0	0	NA
SM2011_a0015	9127	9251	125	0	0	NA
SM2011_a0017	11381	11505	125	0	0	NA
SM2011_a5000	12562	12686	125	0	0	NA
SM2011_a0018	12629	12753	125	0	0	NA
SM2011_a0020	13102	13226	125	0	0	NA
SM2011_a6007	14030	14154	125	0	0	NA
SM2011_a0021	14855	14979	125	0	0	NA
SM2011_a5014	15701	15825	125	0	0	NA
SM2011_a0025	17319	17443	125	0	0	NA
SM2011_a0026	17853	17977	125	0	0	NA
SM2011_a0028	18915	19039	125	0	0	NA
SM2011_a0031	19437	19561	125	0	0	NA
SM2011_a0034	21109	21233	125	0	0	NA
SM2011_a0036	21304	21428	125	0	0	NA
SM2011_a0041	24274	24398	125	0	0	NA
SM2011_a0039	24298	24422	125	0	0	NA
SM2011_a0044	25684	25808	125	0	0	NA
SM2011_a0045	26598	26722	125	0	0	NA
SM2011_a5015	26781	26905	125	0	0	NA
SM2011_a0050	27170	27294	125	0	0	NA
SM2011_a0052	27388	27512	125	0	0	NA
SM2011_a6012	27660	27784	125	0	0	NA
SM2011_a0056	29431	29555	125	1	8	84.6
SM2011_a0058	30691	30815	125	0	0	NA
SM2011_a0059	31491	31615	125	0	0	NA
SM2011_a0060	32426	32550	125	0	0	NA
SM2011_a0062	32511	32635	125	0	0	NA
SM2011_a0063	33330	33454	125	0	0	NA
SM2011_a0064	34061	34185	125	0	0	NA
SM2011_a0065	35332	35456	125	0	0	NA
SM2011_a0067	36070	36194	125	0	0	NA
SM2011_a0070	37230	37354	125	0	0	NA
SM2011_a0072	38210	38334	125	1	8	99.7
SM2011_a0074	38949	39073	125	0	0	NA
SM2011_a0077	39707	39831	125	0	0	NA
SM2011_a0078	40836	40960	125	0	0	NA
SM2011_a0079	41983	42107	125	0	0	NA
SM2011_a0081	42662	42786	125	0	0	NA
SM2011_a0082	43348	43472	125	0	0	NA
SM2011_a0083	44179	44303	125	0	0	NA
SM2011_a0085	44976	45100	125	0	0	NA
SM2011_a0087	45946	46070	125	0	0	NA
SM2011_a0089	46561	46685	125	0	0	NA
SM2011_a0091	47102	47226	125	0	0	NA
SM2011_a0093	48059	48183	125	1	8	100
SM2011_a0095	48961	49085	125	0	0	NA
SM2011_a0097	51082	51206	125	0	0	NA
SM2011_a0101	51139	51263	125	0	0	NA
SM2011_a0104	52821	52945	125	0	0	NA
SM2011_a0105	54501	54625	125	0	0	NA
SM2011_a0106	55442	55566	125	0	0	NA
SM2011_a0108	56260	56384	125	0	0	NA
SM2011_a0110	57171	57295	125	0	0	NA
SM2011_a5001	58175	58299	125	0	0	NA
