Gene_name	Start_nt	End_nt	Length	Motif_count	Normalized_count	Extent_methylation
SM2011_a0002	1730	1979	250	0	0	NA
SM2011_a0005	4204	4453	250	0	0	NA
SM2011_a0007	5174	5423	250	0	0	NA
SM2011_a0009	5899	6148	250	0	0	NA
SM2011_a0011	6824	7073	250	0	0	NA
SM2011_a0013	8133	8382	250	0	0	NA
SM2011_a0015	9002	9251	250	0	0	NA
SM2011_a0017	11256	11505	250	0	0	NA
SM2011_a0018	12504	12753	250	0	0	NA
SM2011_a5000	12562	12811	250	6	24	90.7166666666667
SM2011_a0020	12977	13226	250	0	0	NA
SM2011_a6007	13905	14154	250	2	8	92.2
SM2011_a0021	14855	15104	250	0	0	NA
SM2011_a5014	15576	15825	250	6	24	87.5333333333333
SM2011_a0025	17319	17568	250	2	8	74.5
SM2011_a0026	17853	18102	250	0	0	NA
SM2011_a0028	18915	19164	250	2	8	74.55
SM2011_a0031	19437	19686	250	2	8	71.6
SM2011_a0034	21109	21358	250	2	8	70.9
SM2011_a0036	21179	21428	250	0	0	NA
SM2011_a0041	24149	24398	250	0	0	NA
SM2011_a0039	24298	24547	250	6	24	73.1166666666667
SM2011_a0044	25684	25933	250	0	0	NA
SM2011_a0045	26598	26847	250	0	0	NA
SM2011_a5015	26656	26905	250	0	0	NA
SM2011_a0050	27045	27294	250	0	0	NA
SM2011_a0052	27263	27512	250	0	0	NA
SM2011_a6012	27535	27784	250	2	8	81.3
SM2011_a0056	29431	29680	250	0	0	NA
SM2011_a0058	30691	30940	250	0	0	NA
SM2011_a0059	31491	31740	250	1	4	92.3
SM2011_a0062	32386	32635	250	0	0	NA
SM2011_a0060	32426	32675	250	4	16	88.375
SM2011_a0063	33205	33454	250	0	0	NA
SM2011_a0064	33936	34185	250	0	0	NA
SM2011_a0065	35207	35456	250	0	0	NA
SM2011_a0067	35945	36194	250	0	0	NA
SM2011_a0070	37105	37354	250	2	8	89.45
SM2011_a0072	38085	38334	250	0	0	NA
SM2011_a0074	38824	39073	250	2	8	100
SM2011_a0077	39582	39831	250	0	0	NA
SM2011_a0078	40711	40960	250	0	0	NA
SM2011_a0079	41858	42107	250	0	0	NA
SM2011_a0081	42537	42786	250	0	0	NA
SM2011_a0082	43223	43472	250	0	0	NA
SM2011_a0083	44054	44303	250	0	0	NA
SM2011_a0085	44851	45100	250	0	0	NA
SM2011_a0087	45821	46070	250	0	0	NA
SM2011_a0089	46436	46685	250	0	0	NA
SM2011_a0091	46977	47226	250	2	8	84.45
SM2011_a0093	47934	48183	250	0	0	NA
SM2011_a0095	48836	49085	250	0	0	NA
SM2011_a0101	51014	51263	250	0	0	NA
SM2011_a0097	51082	51331	250	0	0	NA
SM2011_a0104	52696	52945	250	0	0	NA
SM2011_a0105	54376	54625	250	0	0	NA
SM2011_a0106	55317	55566	250	0	0	NA
SM2011_a0108	56135	56384	250	0	0	NA
SM2011_a0110	57046	57295	250	0	0	NA
SM2011_a5001	58050	58299	250	0	0	NA
SM2011_a0112	59237	59486	250	2	8	95.7
SM2011_a0113	59455	59704	250	6	24	84.45
SM2011_a0114	62044	62293	250	0	0	NA
SM2011_a0116	62952	63201	250	0	0	NA
SM2011_a0117	63866	64115	250	2	8	93
SM2011_a0118	64431	64680	250	2	8	81.65
SM2011_a6027	65404	65653	250	0	0	NA
SM2011_a0121	65661	65910	250	0	0	NA
SM2011_a0123	66115	66364	250	0	0	NA
SM2011_a0124	67829	68078	250	2	8	99.25
SM2011_a0125	68194	68443	250	2	8	94.95
SM2011_a0126	68302	68551	250	0	0	NA
SM2011_a0128	68554	68803	250	2	8	95.2
SM2011_a0130	69020	69269	250	0	0	NA
SM2011_a0132	70087	70336	250	2	8	83.7
SM2011_a0134	71341	71590	250	2	8	86.85
SM2011_a0136	71693	71942	250	0	0	NA
SM2011_a5002	71696	71945	250	0	0	NA
SM2011_a0137	73797	74046	250	0	0	NA
SM2011_a0139	76645	76894	250	0	0	NA
SM2011_a6036	76785	77034	250	0	0	NA
SM2011_a0143	78384	78633	250	0	0	NA
SM2011_a0142	78492	78741	250	2	8	89.95
SM2011_a0144	78923	79172	250	0	0	NA
SM2011_a0146	80489	80738	250	0	0	NA
SM2011_a0149	81276	81525	250	0	0	NA
SM2011_a0148	81343	81592	250	0	0	NA
SM2011_a0150	83569	83818	250	0	0	NA
SM2011_a0151	85005	85254	250	2	8	70.5
SM2011_a6038	86318	86567	250	4	16	83.95
SM2011_a0155	86884	87133	250	0	0	NA
SM2011_a0160	87833	88082	250	0	0	NA
SM2011_a0157	87955	88204	250	0	0	NA
SM2011_a0163	88741	88990	250	2	8	94.85
SM2011_a0162	89188	89437	250	2	8	96.1
SM2011_a0164	90138	90387	250	0	0	NA
SM2011_a0166	90456	90705	250	2	8	74.9
SM2011_a0168	91076	91325	250	0	0	NA
SM2011_a0169	91943	92192	250	2	8	81.5
SM2011_a0172	93889	94138	250	0	0	NA
SM2011_a0171	93923	94172	250	2	8	79.9
SM2011_a0175	96538	96787	250	0	0	NA
SM2011_a6043	96672	96921	250	2	8	83.7
SM2011_a0180	98851	99100	250	0	0	NA
SM2011_a0179	98984	99233	250	6	24	77.5833333333333
SM2011_a0181	100375	100624	250	4	16	79.85
SM2011_a0185	100380	100629	250	0	0	NA
SM2011_a0187	102065	102314	250	2	8	80.05
SM2011_a0189	103444	103693	250	0	0	NA
SM2011_a0190	103975	104224	250	0	0	NA
SM2011_a0191	105995	106244	250	0	0	NA
SM2011_a0193	106318	106567	250	0	0	NA
SM2011_a0196	107529	107778	250	2	8	88.75
SM2011_a0197	108491	108740	250	0	0	NA
SM2011_a0198	109435	109684	250	0	0	NA
SM2011_a0199	110895	111144	250	2	8	88.35
SM2011_a0203	111970	112219	250	0	0	NA
SM2011_a0204	111993	112242	250	0	0	NA
SM2011_a0206	113237	113486	250	2	8	81.75
SM2011_a0209	114084	114333	250	0	0	NA
SM2011_a0210	115784	116033	250	0	0	NA
SM2011_a0211	116121	116370	250	2	8	97.55
SM2011_a0214	117181	117430	250	0	0	NA
SM2011_a0216	117953	118202	250	0	0	NA
SM2011_a0217	119029	119278	250	2	8	83.6
SM2011_a0218	119989	120238	250	0	0	NA
SM2011_a0222	121465	121714	250	0	0	NA
SM2011_a0220	121624	121873	250	4	16	90.9
SM2011_a0224	123010	123259	250	0	0	NA
SM2011_a0223	123303	123552	250	0	0	NA
SM2011_a0226	124676	124925	250	0	0	NA
SM2011_a0228	125835	126084	250	2	8	88
SM2011_a0229	127500	127749	250	2	8	81.7
SM2011_a0232	128142	128391	250	0	0	NA
SM2011_a0233	130357	130606	250	2	8	100
SM2011_a0235	132550	132799	250	2	8	71.3
SM2011_a0237	133440	133689	250	0	0	NA
SM2011_a0244	134364	134613	250	0	0	NA
SM2011_a0241	134420	134669	250	2	8	82.55
SM2011_a0246	135824	136073	250	4	16	84.2
SM2011_a0247	136705	136954	250	0	0	NA
SM2011_a0249	137902	138151	250	4	16	81.525
SM2011_a0250	138435	138684	250	2	8	74.5
SM2011_a0252	139764	140013	250	0	0	NA
SM2011_a0254	140932	141181	250	4	16	86.55
SM2011_a0255	141742	141991	250	0	0	NA
SM2011_a0257	145232	145481	250	0	0	NA
SM2011_a0259	146333	146582	250	0	0	NA
SM2011_a0260	147812	148061	250	2	8	56.65
SM2011_a0263	149028	149277	250	0	0	NA
SM2011_a0267	149898	150147	250	0	0	NA
SM2011_a0265	150054	150303	250	0	0	NA
SM2011_a0270	150587	150836	250	1	4	99
SM2011_a0271	152145	152394	250	2	8	71.3
SM2011_a0273	153170	153419	250	0	0	NA
SM2011_a0275	154256	154505	250	2	8	89.3
SM2011_a0277	155614	155863	250	2	8	86.8
SM2011_a5016	156155	156404	250	0	0	NA
SM2011_a0279	157077	157326	250	0	0	NA
SM2011_a0281	157815	158064	250	0	0	NA
SM2011_a0280	158011	158260	250	2	8	70.7
SM2011_a0285	159055	159304	250	0	0	NA
SM2011_a0286	159738	159987	250	0	0	NA
SM2011_a0287	160174	160423	250	0	0	NA
SM2011_a0288	161007	161256	250	0	0	NA
SM2011_a0291	161088	161337	250	0	0	NA
SM2011_a0293	162334	162583	250	0	0	NA
SM2011_a0298	164527	164776	250	0	0	NA
SM2011_a0299	165411	165660	250	2	8	92.3
SM2011_a0300	166361	166610	250	0	0	NA
SM2011_a0301	167026	167275	250	0	0	NA
SM2011_a0303	168479	168728	250	0	0	NA
SM2011_a0302	168622	168871	250	0	0	NA
SM2011_a0306	171341	171590	250	0	0	NA
SM2011_a0308	172478	172727	250	0	0	NA
SM2011_a0307	172635	172884	250	0	0	NA
SM2011_a0310	174670	174919	250	2	8	86.1
SM2011_a0312	174725	174974	250	0	0	NA
SM2011_a0314	175288	175537	250	0	0	NA
SM2011_a0316	175622	175871	250	0	0	NA
SM2011_a0319	177388	177637	250	2	8	71.6
SM2011_a0320	178534	178783	250	2	8	83.75
SM2011_a0322	179341	179590	250	0	0	NA
SM2011_a0323	179940	180189	250	2	8	76.95
SM2011_a0325	180325	180574	250	0	0	NA
SM2011_a0326	180648	180897	250	0	0	NA
SM2011_a0329	181560	181809	250	0	0	NA
SM2011_a5017	182852	183101	250	0	0	NA
SM2011_a0333	183061	183310	250	0	0	NA
SM2011_a0335	184018	184267	250	0	0	NA
SM2011_a0337	184487	184736	250	0	0	NA
SM2011_a0339	185286	185535	250	0	0	NA
SM2011_a0341	185939	186188	250	0	0	NA
SM2011_a0340	185966	186215	250	0	0	NA
SM2011_a0343	187003	187252	250	2	8	80.75
SM2011_a0347	187421	187670	250	0	0	NA
SM2011_a0346	187624	187873	250	0	0	NA
SM2011_a0349	189464	189713	250	0	0	NA
SM2011_a0353	190248	190497	250	0	0	NA
SM2011_a0352	190396	190645	250	0	0	NA
SM2011_a0355	191337	191586	250	0	0	NA
SM2011_a6069	191913	192162	250	4	16	89.175
SM2011_a6070	192851	193100	250	0	0	NA
SM2011_a0357	193219	193468	250	0	0	NA
SM2011_a0359	193473	193722	250	0	0	NA
SM2011_a0360	194159	194408	250	4	16	89.4
SM2011_a0364	194497	194746	250	0	0	NA
SM2011_a0367	196327	196576	250	0	0	NA
SM2011_a0369	197321	197570	250	2	8	86.75
SM2011_a0374	199531	199780	250	0	0	NA
SM2011_a0372	199670	199919	250	0	0	NA
SM2011_a0376	200781	201030	250	0	0	NA
SM2011_a5018	201535	201784	250	0	0	NA
SM2011_a0380	201822	202071	250	2	8	84.85
SM2011_a5019	203965	204214	250	0	0	NA
SM2011_a0383	204405	204654	250	0	0	NA
SM2011_a0384	208454	208703	250	2	8	94.15
SM2011_a0389	209678	209927	250	0	0	NA
SM2011_a0387	209798	210047	250	2	8	74.75
SM2011_a0391	210751	211000	250	2	8	89.3
SM2011_a0392	211918	212167	250	4	16	88.975
SM2011_a0394	213098	213347	250	0	0	NA
SM2011_a0396	214039	214288	250	0	0	NA
SM2011_a0398	214836	215085	250	0	0	NA
SM2011_a0400	216210	216459	250	0	0	NA
SM2011_a0402	217286	217535	250	0	0	NA
SM2011_a0403	217965	218214	250	0	0	NA
SM2011_a0404	219355	219604	250	0	0	NA
SM2011_a0407	221646	221895	250	0	0	NA
SM2011_a6086	223343	223592	250	0	0	NA
SM2011_a0412	223841	224090	250	4	16	74.725
SM2011_a6088	224121	224370	250	0	0	NA
SM2011_a0414	224220	224469	250	0	0	NA
SM2011_a0417	225951	226200	250	2	8	67.25
SM2011_a5020	226840	227089	250	0	0	NA
SM2011_a0421	227721	227970	250	0	0	NA
SM2011_a5021	228236	228485	250	0	0	NA
SM2011_a0424	229996	230245	250	2	8	86.75
SM2011_a0426	230799	231048	250	0	0	NA
SM2011_a0429	232109	232358	250	2	8	95.1
SM2011_a0431	232695	232944	250	4	16	86.55
SM2011_a0433	232975	233224	250	2	8	78.95
SM2011_a0436	234297	234546	250	4	16	97.775
SM2011_a5022	235431	235680	250	4	16	86.7
SM2011_a5023	235793	236042	250	0	0	NA
SM2011_a0444	237374	237623	250	0	0	NA
SM2011_a0445	237763	238012	250	2	8	77.4
SM2011_a0447	237943	238192	250	0	0	NA
SM2011_a0448	240071	240320	250	2	8	99.75
SM2011_a0450	240400	240649	250	0	0	NA
SM2011_a6097	241677	241926	250	0	0	NA
SM2011_a6099	242316	242565	250	0	0	NA
SM2011_a0453	242570	242819	250	0	0	NA
SM2011_a6103	243949	244198	250	0	0	NA
SM2011_a0461	244531	244780	250	2	8	91.55
SM2011_a0462	247893	248142	250	0	0	NA
SM2011_a0464	251284	251533	250	2	8	76.5
SM2011_a0466	251436	251685	250	2	8	89.7
SM2011_a0467	253197	253446	250	0	0	NA
SM2011_a0469	254291	254540	250	4	16	72.525
SM2011_a0470	255130	255379	250	0	0	NA
SM2011_a0471	257640	257889	250	4	16	77.175
SM2011_a0473	257945	258194	250	2	8	71.05
SM2011_a0475	258427	258676	250	2	8	84.3
SM2011_a0478	261632	261881	250	0	0	NA
SM2011_a0483	264095	264344	250	2	8	68.9
SM2011_a0485	265602	265851	250	0	0	NA
SM2011_a0486	266617	266866	250	2	8	86.5
SM2011_a0489	267532	267781	250	0	0	NA
SM2011_a0492	268227	268476	250	0	0	NA
SM2011_a0493	268922	269171	250	0	0	NA
SM2011_a0495	269780	270029	250	0	0	NA
SM2011_a0496	270032	270281	250	0	0	NA
SM2011_a0499	271471	271720	250	0	0	NA
SM2011_a0498	271619	271868	250	0	0	NA
SM2011_a0501	272146	272395	250	0	0	NA
SM2011_a0503	272834	273083	250	0	0	NA
SM2011_a0506	273548	273797	250	0	0	NA
SM2011_a0508	274380	274629	250	0	0	NA
SM2011_a0510	275199	275448	250	0	0	NA
SM2011_a0512	276157	276406	250	0	0	NA
SM2011_a0513	277258	277507	250	0	0	NA
SM2011_a0514	278015	278264	250	0	0	NA
SM2011_a0516	278530	278779	250	0	0	NA
SM2011_a0518	279414	279663	250	0	0	NA
SM2011_a0520	280105	280354	250	0	0	NA
SM2011_a0522	281076	281325	250	0	0	NA
SM2011_a0523	281785	282034	250	0	0	NA
SM2011_a0525	282186	282435	250	0	0	NA
SM2011_a0526	283988	284237	250	0	0	NA
SM2011_a0527	285031	285280	250	0	0	NA
SM2011_a5025	287013	287262	250	6	24	89.65
SM2011_a0537	287335	287584	250	0	0	NA
SM2011_a0538	287753	288002	250	0	0	NA
SM2011_a0541	289245	289494	250	0	0	NA
SM2011_a0543	289779	290028	250	2	8	94.05
SM2011_a0545	291301	291550	250	0	0	NA
SM2011_a0548	291540	291789	250	0	0	NA
SM2011_a0551	291629	291878	250	2	8	95.4
SM2011_a0552	293014	293263	250	0	0	NA
SM2011_a0554	293483	293732	250	0	0	NA
SM2011_a0558	296010	296259	250	0	0	NA
SM2011_a0557	296137	296386	250	0	0	NA
SM2011_a0559	296460	296709	250	8	32	88.9375
SM2011_a0561	297356	297605	250	0	0	NA
SM2011_a0563	297741	297990	250	0	0	NA
SM2011_a0564	298796	299045	250	0	0	NA
SM2011_a5026	299983	300232	250	0	0	NA
SM2011_a0567	300616	300865	250	4	16	90.4
SM2011_a0570	303429	303678	250	2	8	86.2
SM2011_a0572	303969	304218	250	0	0	NA
SM2011_a0575	305304	305553	250	0	0	NA
SM2011_a0574	305504	305753	250	0	0	NA
SM2011_a0576	305660	305909	250	0	0	NA
SM2011_a0579	306942	307191	250	0	0	NA
SM2011_a0581	310888	311137	250	0	0	NA
SM2011_a0583	311795	312044	250	0	0	NA
SM2011_a0585	313150	313399	250	2	8	98.65
SM2011_a0590	313717	313966	250	0	0	NA
SM2011_a0592	314692	314941	250	4	16	72.4
SM2011_a0594	315840	316089	250	2	8	93.65
SM2011_a6138	317622	317871	250	2	8	86.55
SM2011_a0599	319072	319321	250	2	8	93.75
SM2011_a0601	321462	321711	250	0	0	NA
SM2011_a0604	321833	322082	250	0	0	NA
SM2011_a0606	322642	322891	250	0	0	NA
SM2011_a0607	323030	323279	250	2	8	76.75
SM2011_a0609	324638	324887	250	0	0	NA
SM2011_a0610	325219	325468	250	0	0	NA
SM2011_a0612	326384	326633	250	4	16	94.75
SM2011_a0615	328044	328293	250	2	8	88.35
SM2011_a0616	328819	329068	250	0	0	NA
SM2011_a0617	328980	329229	250	0	0	NA
SM2011_a0620	330080	330329	250	0	0	NA
SM2011_a0621	330889	331138	250	0	0	NA
SM2011_a0622	333153	333402	250	0	0	NA
SM2011_a0625	333845	334094	250	0	0	NA
SM2011_a0626	334529	334778	250	2	8	82.9
SM2011_a6149	335788	336037	250	0	0	NA
SM2011_a0627	336178	336427	250	2	8	99.2
SM2011_a0629	337772	338021	250	0	0	NA
SM2011_a0630	339880	340129	250	0	0	NA
SM2011_a0633	340445	340694	250	0	0	NA
SM2011_a0636	340892	341141	250	0	0	NA
SM2011_a0637	342003	342252	250	0	0	NA
SM2011_a6152	342113	342362	250	2	8	100
SM2011_a0638	342389	342638	250	2	8	99.95
SM2011_a0639	343051	343300	250	2	8	93.3
SM2011_a0640	343672	343921	250	0	0	NA
SM2011_a0645	345095	345344	250	0	0	NA
SM2011_a0647	345521	345770	250	0	0	NA
SM2011_a0649	345753	346002	250	2	8	96.35
SM2011_a5027	347513	347762	250	2	8	83
SM2011_a0657	348811	349060	250	0	0	NA
SM2011_a0656	348911	349160	250	0	0	NA
SM2011_a0659	348998	349247	250	0	0	NA
SM2011_a0661	349799	350048	250	2	8	84.85
SM2011_a0662	351222	351471	250	0	0	NA
SM2011_a0664	351496	351745	250	0	0	NA
SM2011_a0663	351606	351855	250	0	0	NA
SM2011_a0665	354692	354941	250	0	0	NA
SM2011_a0667	354939	355188	250	2	8	98.05
SM2011_a0669	355431	355680	250	4	16	93.125
SM2011_a0670	356770	357019	250	0	0	NA
SM2011_a0673	358221	358470	250	2	8	100
SM2011_a0674	360011	360260	250	0	0	NA
SM2011_a0675	361153	361402	250	0	0	NA
SM2011_a0677	362299	362548	250	0	0	NA
SM2011_a0678	363687	363936	250	2	8	81.35
SM2011_a0680	366078	366327	250	2	8	83.7
SM2011_a0682	368335	368584	250	0	0	NA
SM2011_a0683	369467	369716	250	0	0	NA
SM2011_a0684	370938	371187	250	2	8	88.05
SM2011_a0687	371958	372207	250	2	8	99.95
SM2011_a0689	373121	373370	250	2	8	88.8
SM2011_a0690	374518	374767	250	0	0	NA
SM2011_a0693	375098	375347	250	2	8	90.95
SM2011_a0695	376384	376633	250	0	0	NA
SM2011_a0697	377391	377640	250	4	16	90.6
SM2011_a0699	378584	378833	250	0	0	NA
SM2011_a0702	379460	379709	250	2	8	91.75
SM2011_a0707	381370	381619	250	0	0	NA
SM2011_a0705	381569	381818	250	0	0	NA
SM2011_a0708	382329	382578	250	0	0	NA
SM2011_a0709	383531	383780	250	4	16	64.3
SM2011_a0710	384771	385020	250	2	8	87.9
SM2011_a0711	385796	386045	250	0	0	NA
SM2011_a0713	386628	386877	250	0	0	NA
SM2011_a0715	387718	387967	250	0	0	NA
SM2011_a0717	388677	388926	250	0	0	NA
SM2011_a0719	390396	390645	250	0	0	NA
SM2011_a0723	391911	392160	250	0	0	NA
SM2011_a0726	393289	393538	250	2	8	94.7
SM2011_a0728	394103	394352	250	2	8	91.25
SM2011_a0731	394644	394893	250	2	8	81
SM2011_a0734	395187	395436	250	0	0	NA
SM2011_a0736	395507	395756	250	2	8	84.4
SM2011_a0738	396516	396765	250	0	0	NA
SM2011_a0739	397045	397294	250	2	8	99.8
SM2011_a0740	397077	397326	250	0	0	NA
SM2011_a0742	398286	398535	250	4	16	95.55
SM2011_a0744	400343	400592	250	0	0	NA
SM2011_a0745	400715	400964	250	4	16	99.675
SM2011_a0747	401019	401268	250	6	24	99.5333333333333
SM2011_a0748	401550	401799	250	2	8	99.2
SM2011_a5003	402770	403019	250	2	8	82.2
SM2011_a0751	403616	403865	250	0	0	NA
SM2011_a0750	403719	403968	250	2	8	93.25
SM2011_a0752	404859	405108	250	2	8	83.75
SM2011_a0753	406216	406465	250	0	0	NA
SM2011_a0754	407192	407441	250	2	8	100
SM2011_a6189	407902	408151	250	0	0	NA
SM2011_a0757	408666	408915	250	2	8	96.85
SM2011_a0758	410519	410768	250	2	8	100
SM2011_a0759	411325	411574	250	0	0	NA
SM2011_a0760	411775	412024	250	0	0	NA
SM2011_a0762	412202	412451	250	2	8	95.45
SM2011_a0763	412849	413098	250	0	0	NA
SM2011_a0765	413599	413848	250	2	8	93.3
SM2011_a0766	415230	415479	250	2	8	79.9
SM2011_a0767	415973	416222	250	0	0	NA
SM2011_a0769	416129	416378	250	0	0	NA
SM2011_a0771	417181	417430	250	0	0	NA
SM2011_a0772	417757	418006	250	0	0	NA
SM2011_a0773	418696	418945	250	0	0	NA
SM2011_a0774	420133	420382	250	0	0	NA
SM2011_a0775	422637	422886	250	1	4	100
SM2011_a0776	423840	424089	250	0	0	NA
SM2011_a5028	424316	424565	250	0	0	NA
SM2011_a0781	424874	425123	250	0	0	NA
SM2011_a0783	425346	425595	250	0	0	NA
SM2011_a0785	425605	425854	250	0	0	NA
SM2011_a0789	428853	429102	250	6	24	81.8666666666667
SM2011_a0791	430011	430260	250	2	8	89.95
SM2011_a0792	430632	430881	250	0	0	NA
SM2011_a0793	431462	431711	250	0	0	NA
SM2011_a0794	432394	432643	250	0	0	NA
SM2011_a0796	433440	433689	250	2	8	100
SM2011_a0797	434909	435158	250	4	16	92.8
SM2011_a0799	435273	435522	250	0	0	NA
SM2011_a0800	436376	436625	250	4	16	90.8
