Gene	Operon
SM2011_c02790	1
SM2011_c02791	1
SM2011_c02792	1
SM2011_c02793	1
SM2011_c02783	2
SM2011_c02784	2
SM2011_c02785	2
SM2011_c02786	2
SM2011_c02775	3
SM2011_c02776	3
SM2011_c02771	4
SM2011_c02772	4
SM2011_c02773	4
SM2011_c02768	5
SM2011_c02769	5
SM2011_c02763	6
SM2011_c02764	6
SM2011_c02765	6
SM2011_c02766	6
SM2011_c02767	6
SM2011_c02756	7
SM2011_c02757	7
SM2011_c02758	7
SM2011_c02759	7
SM2011_c02760	7
SM2011_c02753	8
SM2011_c02754	8
SM2011_c02752	9
SM2011_c04446	9
SM2011_c02567	10
SM2011_c02568	10
SM2011_c02569	10
SM2011_c02570	10
SM2011_c02572	10
SM2011_c02573	10
SM2011_c02574	10
SM2011_c02575	11
SM2011_c02576	11
SM2011_c02577	11
SM2011_c02586	12
SM2011_c02587	12
SM2011_c02588	12
SM2011_c02589	12
SM2011_c02591	13
SM2011_c02592	13
SM2011_c02593	13
SM2011_c02594	14
SM2011_c02595	14
SM2011_c02604	15
SM2011_c02605	15
SM2011_c02606	15
SM2011_c02607	15
SM2011_c02608	15
SM2011_c02610	16
SM2011_c02611	16
SM2011_c02612	16
SM2011_c02614	17
SM2011_c02615	17
SM2011_c02616	18
SM2011_c02617	18
SM2011_c02618	18
SM2011_c02619	18
SM2011_c04151	19
SM2011_c04152	19
SM2011_c04153	19
SM2011_c04149	20
SM2011_c04150	20
SM2011_c04135	21
SM2011_c04136	21
SM2011_c04137	21
SM2011_c04138	21
SM2011_c04139	21
SM2011_c04140	21
SM2011_c04141	21
SM2011_c04130	22
SM2011_c04131	22
SM2011_c04132	22
SM2011_c04133	22
SM2011_c04122	23
SM2011_c04123	23
SM2011_c04124	23
SM2011_c04125	23
SM2011_c04126	23
SM2011_c04127	23
SM2011_c04119	24
SM2011_c04120	24
SM2011_c04117	25
SM2011_c04118	25
SM2011_c04113	26
SM2011_c04114	26
SM2011_c04109	27
SM2011_c04110	27
SM2011_c04111	27
SM2011_c04112	27
SM2011_c02820	28
SM2011_c02821	28
SM2011_c02822	28
SM2011_c02825	29
SM2011_c02826	29
SM2011_c02827	29
SM2011_c02828	30
SM2011_c02829	30
SM2011_c02830	30
SM2011_c02831	30
SM2011_c02834	31
SM2011_c02835	31
SM2011_c02836	32
SM2011_c02837	32
SM2011_c02838	32
SM2011_c02841	33
SM2011_c02842	33
SM2011_c02846	34
SM2011_c02847	34
SM2011_c02851	35
SM2011_c02852	35
SM2011_c02854	36
SM2011_c02855	36
SM2011_c02859	37
SM2011_c02860	37
SM2011_c02861	38
SM2011_c02862	38
SM2011_c02863	39
SM2011_c02864	39
SM2011_c02865	39
SM2011_c02866	40
SM2011_c02867	40
SM2011_c02868	40
SM2011_c02869	41
SM2011_c02870	41
SM2011_c02871	41
SM2011_c02872	41
SM2011_c02875	42
SM2011_c02876	42
SM2011_c02877	42
SM2011_c02878	42
SM2011_c02879	43
SM2011_c02880	43
SM2011_c02881	43
SM2011_c02887	44
SM2011_c02888	44
SM2011_c05001	44
SM2011_c02889	45
SM2011_c02890	45
SM2011_c02891	45
SM2011_c02898	46
SM2011_c02899	46
SM2011_c02902	47
SM2011_c02903	47
SM2011_c02904	47
SM2011_c02906	48
SM2011_c02907	48
SM2011_c02908	48
SM2011_c02909	48
SM2011_c02911	49
SM2011_c02912	49
SM2011_c02913	49
SM2011_c00320	50
SM2011_c00321	50
SM2011_c00326	51
SM2011_c00327	51
SM2011_c00328	51
SM2011_c00330	52
SM2011_c00331	52
SM2011_c00333	53
SM2011_c00334	53
SM2011_c00339	54
SM2011_c00340	54
SM2011_c00341	54
SM2011_c00348	55
SM2011_c00349	55
SM2011_c00351	56
SM2011_c00352	56
SM2011_c00355	57
SM2011_c00356	57
SM2011_c00363	58
SM2011_c00364	58
SM2011_c00365	59
SM2011_c00366	59
SM2011_c00368	60
SM2011_c00369	60
SM2011_c00378	61
SM2011_c00379	61
SM2011_c00382	62
SM2011_c00383	62
SM2011_c00385	63
SM2011_c00386	63
SM2011_c00387	64
SM2011_c00388	64
SM2011_c00389	65
SM2011_c00390	65
SM2011_c00392	66
SM2011_c00393	66
SM2011_c00395	67
SM2011_c00396	67
SM2011_c00400	68
SM2011_c00401	68
SM2011_c00402	68
SM2011_c00405	69
SM2011_c00406	69
SM2011_c00407	69
SM2011_c00412	70
SM2011_c00413	70
SM2011_c00414	70
SM2011_c00416	71
SM2011_c00418	71
SM2011_c01159	72
SM2011_c01160	72
SM2011_c01155	73
SM2011_c01156	73
SM2011_c01157	73
SM2011_c01153	74
SM2011_c01154	74
SM2011_c01150	75
SM2011_c01151	75
SM2011_c01148	76
SM2011_c01149	76
SM2011_c01145	77
SM2011_c01146	77
SM2011_c01147	77
SM2011_c01136	78
SM2011_c01137	78
SM2011_c01138	78
SM2011_c01129	79
SM2011_c01130	79
SM2011_c01131	79
SM2011_c01121	80
SM2011_c01122	80
SM2011_c01123	80
SM2011_c01124	80
SM2011_c01117	81
SM2011_c01118	81
SM2011_c01112	82
SM2011_c01113	82
SM2011_c01114	82
SM2011_c01115	82
SM2011_c01106	83
SM2011_c01107	83
SM2011_c01099	84
SM2011_c01100	84
SM2011_c01101	84
SM2011_c01098	85
SM2011_c01394	85
SM2011_c01096	86
SM2011_c01097	86
SM2011_c01093	87
SM2011_c01094	87
SM2011_c01089	88
SM2011_c01732	88
SM2011_c01727	89
SM2011_c01728	89
SM2011_c01720	90
SM2011_c01721	90
SM2011_c04434	90
SM2011_c01717	91
SM2011_c01718	91
SM2011_c01712	92
SM2011_c01713	92
SM2011_c01709	93
SM2011_c01710	93
SM2011_c01707	94
SM2011_c01708	94
SM2011_c01702	95
SM2011_c01703	95
SM2011_c02175	96
SM2011_c02176	96
SM2011_c02172	97
SM2011_c02173	97
SM2011_c02167	98
SM2011_c02169	98
SM2011_c02170	98
SM2011_c02164	99
SM2011_c02165	99
SM2011_c02166	99
SM2011_c02157	100
SM2011_c02158	100
SM2011_c02159	100
SM2011_c02187	101
SM2011_c02202	101
SM2011_c02189	102
SM2011_c02200	102
SM2011_c02199	103
SM2011_c02203	103
SM2011_c02151	104
SM2011_c02152	104
SM2011_c02153	104
SM2011_c02154	104
SM2011_c02155	104
SM2011_c04429	104
SM2011_c02141	105
SM2011_c02142	105
SM2011_c02143	105
SM2011_c02144	105
SM2011_c02145	105
SM2011_c02137	106
SM2011_c02138	106
SM2011_c02218	107
SM2011_c02219	107
SM2011_c02220	108
SM2011_c02221	108
SM2011_c02222	109
SM2011_c02223	109
SM2011_c02227	110
SM2011_c02228	110
SM2011_c02230	111
SM2011_c02231	111
SM2011_c02232	112
SM2011_c02234	112
SM2011_c02235	112
SM2011_c02238	113
SM2011_c02239	113
SM2011_c02242	114
SM2011_c02243	114
SM2011_c02244	114
SM2011_c02245	115
SM2011_c02246	115
SM2011_c02254	116
SM2011_c02255	116
SM2011_c02256	117
SM2011_c02257	117
SM2011_c02258	117
SM2011_c02259	118
SM2011_c02260	118
SM2011_c02261	119
SM2011_c02262	119
SM2011_c02263	119
SM2011_c02269	120
SM2011_c02270	120
SM2011_c02271	120
SM2011_c02272	120
SM2011_c02273	120
SM2011_c02280	121
SM2011_c02281	121
SM2011_c02282	121
SM2011_c02283	121
SM2011_c02284	121
SM2011_c02285	121
SM2011_c02292	122
SM2011_c02295	122
SM2011_c02296	122
SM2011_c02298	123
SM2011_c02329	123
SM2011_c02300	124
SM2011_c02301	124
SM2011_c02302	124
SM2011_c02306	125
SM2011_c02307	125
